from_community,from_id,to_community,to_id,rank,bike_possible,scheduled_ground_only,boardings,modes,operators,journey_km,schedule_cautions,summary
Abbotsford,abbotsford,Alert Bay,alert-bay,1,TRUE,FALSE,7,local-bus; skytrain; ferry; local-bus; rental-car; local-bus; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,limited,"City bus, SkyTrain, ferry, city bus, rental car, city bus, then ferry."
Abbotsford,abbotsford,Alert Bay,alert-bay,2,TRUE,FALSE,7,bus; skytrain; ferry; local-bus; rental-car; local-bus; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,limited,"City bus, SkyTrain, ferry, city bus, rental car, city bus, then ferry."
Abbotsford,abbotsford,Alert Bay,alert-bay,3,TRUE,FALSE,6,bus; local-bus; ferry; rental-car; local-bus; ferry,Rider Express; TransLink; BC Ferries; National Car & Truck Rental (Vancouver Island); BC Transit,490.5,limited,"Coach bus, city bus, ferry, rental car, city bus, then ferry."
Abbotsford,abbotsford,Alert Bay,alert-bay,4,TRUE,FALSE,6,bus; skytrain; ferry; rental-car; local-bus; ferry,Ebus; TransLink; Hullo; Budget; BC Transit; BC Ferries,,limited,"Coach bus, SkyTrain, ferry, rental car, city bus, then ferry."
Abbotsford,abbotsford,Alert Bay,alert-bay,5,TRUE,FALSE,6,local-bus; local-train; ferry; rental-car; local-bus; ferry,BC Transit; TransLink (West Coast Express); Hullo; Budget; BC Ferries,491.9,limited,"City bus, train, ferry, rental car, city bus, then ferry."
Abbotsford,abbotsford,Alert Bay,alert-bay,6,TRUE,FALSE,7,local-bus; skytrain; bus; ferry; rental-car; local-bus; ferry,BC Transit; TransLink; Squamish Connector; BC Ferries; National Car & Truck Rental (Vancouver Island),,limited; seasonal,"City bus, SkyTrain, coach bus, ferry, rental car, city bus, then ferry."
Abbotsford,abbotsford,Barkerville,barkerville,1,TRUE,TRUE,3,bus; bus; local-bus,Ebus; BC Transit,653.1,limited,"Coach bus, coach bus, then city bus."
Abbotsford,abbotsford,Bella Bella,bella-bella,1,TRUE,FALSE,6,local-bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,limited,"City bus, SkyTrain, ferry, city bus, rental car, then ferry."
Abbotsford,abbotsford,Bella Bella,bella-bella,2,TRUE,FALSE,6,bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,limited,"City bus, SkyTrain, ferry, city bus, rental car, then ferry."
Abbotsford,abbotsford,Bella Bella,bella-bella,3,TRUE,FALSE,5,bus; local-bus; ferry; rental-car; ferry,Rider Express; TransLink; BC Ferries; National Car & Truck Rental (Vancouver Island),608.4,limited,"Coach bus, city bus, ferry, rental car, then ferry."
Abbotsford,abbotsford,Bella Bella,bella-bella,4,TRUE,FALSE,5,bus; skytrain; ferry; rental-car; ferry,Ebus; TransLink; Hullo; Budget; BC Ferries,,limited,"Coach bus, SkyTrain, ferry, rental car, then ferry."
Abbotsford,abbotsford,Bella Bella,bella-bella,5,TRUE,FALSE,5,local-bus; local-train; ferry; rental-car; ferry,BC Transit; TransLink (West Coast Express); Hullo; Budget; BC Ferries,609.8,limited,"City bus, train, ferry, rental car, then ferry."
Abbotsford,abbotsford,Bella Bella,bella-bella,6,TRUE,FALSE,6,local-bus; skytrain; bus; ferry; rental-car; ferry,BC Transit; TransLink; Squamish Connector; BC Ferries; National Car & Truck Rental (Vancouver Island),,limited; seasonal,"City bus, SkyTrain, coach bus, ferry, rental car, then ferry."
Abbotsford,abbotsford,Bella Bella,bella-bella,7,TRUE,FALSE,3,air; air; air,Flair Airlines; Pacific Coastal Airlines,1807.1,,"Plane, plane, then plane."
Abbotsford,abbotsford,Bella Coola,bella-coola,1,TRUE,FALSE,6,local-bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,limited,"City bus, SkyTrain, ferry, city bus, rental car, then ferry."
Abbotsford,abbotsford,Bella Coola,bella-coola,2,TRUE,FALSE,6,bus; skytrain; ferry; local-bus; rental-car; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,limited,"City bus, SkyTrain, ferry, city bus, rental car, then ferry."
Abbotsford,abbotsford,Bella Coola,bella-coola,3,TRUE,FALSE,5,bus; local-bus; ferry; rental-car; ferry,Rider Express; TransLink; BC Ferries; National Car & Truck Rental (Vancouver Island),708.9,limited,"Coach bus, city bus, ferry, rental car, then ferry."
Abbotsford,abbotsford,Bella Coola,bella-coola,4,TRUE,FALSE,5,bus; skytrain; ferry; rental-car; ferry,Ebus; TransLink; Hullo; Budget; BC Ferries,,limited,"Coach bus, SkyTrain, ferry, rental car, then ferry."
Abbotsford,abbotsford,Bella Coola,bella-coola,5,TRUE,FALSE,5,local-bus; local-train; ferry; rental-car; ferry,BC Transit; TransLink (West Coast Express); Hullo; Budget; BC Ferries,710.3,limited,"City bus, train, ferry, rental car, then ferry."
Abbotsford,abbotsford,Bella Coola,bella-coola,6,TRUE,FALSE,6,local-bus; skytrain; bus; ferry; rental-car; ferry,BC Transit; TransLink; Squamish Connector; BC Ferries; National Car & Truck Rental (Vancouver Island),,limited; seasonal,"City bus, SkyTrain, coach bus, ferry, rental car, then ferry."
Abbotsford,abbotsford,Bella Coola,bella-coola,7,TRUE,FALSE,4,air; air; air; ferry,Flair Airlines; Pacific Coastal Airlines; BC Ferries,1907.6,limited,"Plane, plane, plane, then ferry."
Abbotsford,abbotsford,Bowen Island,bowen-island,1,TRUE,TRUE,3,bus; local-bus; ferry,Rider Express; TransLink; BC Ferries,87.7,,"Coach bus, city bus, then ferry."
Abbotsford,abbotsford,Bowen Island,bowen-island,2,TRUE,TRUE,4,local-bus; skytrain; bus; ferry,BC Transit; TransLink; Squamish Connector; BC Ferries,,seasonal,"City bus, SkyTrain, coach bus, then ferry."
Abbotsford,abbotsford,Bowen Island,bowen-island,3,TRUE,TRUE,6,local-bus; skytrain; ferry; local-bus; local-bus; ferry,BC Transit; TransLink; TransLink (SeaBus); BC Ferries,,,"City bus, SkyTrain, SeaBus, city bus, city bus, then ferry."
Abbotsford,abbotsford,Bowen Island,bowen-island,4,TRUE,TRUE,4,bus; skytrain; bus; ferry,BC Transit; TransLink; Squamish Connector; BC Ferries,,seasonal,"City bus, SkyTrain, coach bus, then ferry."
Abbotsford,abbotsford,Bowen Island,bowen-island,5,TRUE,TRUE,6,bus; skytrain; ferry; local-bus; local-bus; ferry,BC Transit; TransLink; TransLink (SeaBus); BC Ferries,,,"City bus, SkyTrain, SeaBus, city bus, city bus, then ferry."
Abbotsford,abbotsford,Bowen Island,bowen-island,6,TRUE,TRUE,4,bus; skytrain; bus; ferry,Ebus; TransLink; Squamish Connector; BC Ferries,,seasonal,"Coach bus, SkyTrain, coach bus, then ferry."
Abbotsford,abbotsford,Bowen Island,bowen-island,7,TRUE,TRUE,6,bus; skytrain; ferry; local-bus; local-bus; ferry,Ebus; TransLink; TransLink (SeaBus); BC Ferries,,,"Coach bus, SkyTrain, SeaBus, city bus, city bus, then ferry."
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,1,TRUE,TRUE,4,local-bus; skytrain; local-bus; ferry,BC Transit; TransLink; BC Ferries,,,"City bus, SkyTrain, city bus, then ferry."
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,2,TRUE,TRUE,4,bus; skytrain; local-bus; ferry,BC Transit; TransLink; BC Ferries,,,"City bus, SkyTrain, city bus, then ferry."
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,3,TRUE,TRUE,4,local-bus; skytrain; local-bus; bus,BC Transit; TransLink; Wilson's Transportation (BC Connector),,,"City bus, SkyTrain, city bus, then coach bus."
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,4,TRUE,TRUE,4,bus; skytrain; local-bus; ferry,Ebus; TransLink; BC Ferries,,,"Coach bus, SkyTrain, city bus, then ferry."
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,5,TRUE,TRUE,4,bus; skytrain; local-bus; bus,BC Transit; TransLink; Wilson's Transportation (BC Connector),,,"City bus, SkyTrain, city bus, then coach bus."
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,6,TRUE,TRUE,6,local-bus; skytrain; ferry; local-bus; local-bus; ferry,BC Transit; TransLink; Hullo; BC Ferries,,,"City bus, SkyTrain, ferry, city bus, city bus, then ferry."
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,7,TRUE,TRUE,6,bus; skytrain; ferry; local-bus; local-bus; ferry,BC Transit; TransLink; Hullo; BC Ferries,,,"City bus, SkyTrain, ferry, city bus, city bus, then ferry."
Abbotsford,abbotsford,Brentwood Bay,brentwood-bay,8,TRUE,TRUE,4,local-bus; skytrain; bus; bus,BC Transit; TransLink; Whistler Shuttle; Wilson's Transportation (BC Connector),,,"City bus, SkyTrain, coach bus, then coach bus."
Abbotsford,abbotsford,Burnaby,burnaby,1,TRUE,TRUE,1,local-bus,BC Transit,58.5,,"One city bus, straight through."
Abbotsford,abbotsford,Burnaby,burnaby,2,TRUE,TRUE,1,bus,BC Transit,58.1,,"One city bus, straight through."
Abbotsford,abbotsford,Burnaby,burnaby,3,TRUE,TRUE,2,bus; skytrain,Ebus; TransLink,,,"Coach bus, then SkyTrain."
Abbotsford,abbotsford,Burnaby,burnaby,4,TRUE,TRUE,2,bus; skytrain,Mountain Man Mike's; TransLink,,limited,"Coach bus, then SkyTrain."
Abbotsford,abbotsford,Burnaby,burnaby,5,TRUE,TRUE,3,local-bus; local-train; skytrain,BC Transit; TransLink (West Coast Express); TransLink,,limited,"City bus, train, then SkyTrain."
Abbotsford,abbotsford,Burnaby,burnaby,6,TRUE,TRUE,4,local-bus; local-bus; local-bus; skytrain,BC Transit; TransLink,,limited,"City bus, city bus, city bus, then SkyTrain."
Abbotsford,abbotsford,Burns Lake,burns-lake,1,TRUE,TRUE,3,bus; bus; bus,Ebus; BC Bus North (Tahltan NST Busing Ltd.),893.5,limited,"Coach bus, coach bus, then coach bus."
Abbotsford,abbotsford,Burns Lake,burns-lake,2,TRUE,TRUE,3,bus; bus; intercity-train,Ebus; VIA Rail,892.7,limited,"Coach bus, coach bus, then train."
Abbotsford,abbotsford,Burns Lake,burns-lake,3,TRUE,TRUE,4,local-bus; skytrain; intercity-train; intercity-train,BC Transit; TransLink; VIA Rail,,limited,"City bus, SkyTrain, train, then train."
Abbotsford,abbotsford,Burns Lake,burns-lake,4,TRUE,TRUE,3,bus; intercity-train; intercity-train,Ebus; VIA Rail,1136.9,limited,"Coach bus, train, then train."
Abbotsford,abbotsford,Burns Lake,burns-lake,5,TRUE,TRUE,4,bus; skytrain; intercity-train; intercity-train,BC Transit; TransLink; VIA Rail,,limited,"City bus, SkyTrain, train, then train."
Abbotsford,abbotsford,Burns Lake,burns-lake,6,TRUE,TRUE,4,bus; skytrain; intercity-train; intercity-train,Mountain Man Mike's; TransLink; VIA Rail,,limited,"Coach bus, SkyTrain, train, then train."
Abbotsford,abbotsford,Burns Lake,burns-lake,7,TRUE,FALSE,5,air; air; air; ferry; bus,Flair Airlines; Pacific Coastal Airlines; BC Ferries; BC Bus North (Tahltan NST Busing Ltd.),2536.6,limited,"Plane, plane, plane, ferry, then coach bus."
Abbotsford,abbotsford,"Calgary, AB",calgary,1,TRUE,TRUE,1,bus,Ebus,728.9,,"One coach bus, straight through."
Abbotsford,abbotsford,"Calgary, AB",calgary,2,TRUE,FALSE,1,air,Flair Airlines,640.6,,Fly it.
Abbotsford,abbotsford,Campbell River,campbell-river,1,TRUE,FALSE,5,local-bus; skytrain; ferry; local-bus; rental-car,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,,"City bus, SkyTrain, ferry, city bus, then rental car."
Abbotsford,abbotsford,Campbell River,campbell-river,2,TRUE,FALSE,5,bus; skytrain; ferry; local-bus; rental-car,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,,"City bus, SkyTrain, ferry, city bus, then rental car."
Abbotsford,abbotsford,Campbell River,campbell-river,3,TRUE,FALSE,4,bus; local-bus; ferry; rental-car,Rider Express; TransLink; BC Ferries; National Car & Truck Rental (Vancouver Island),273.4,,"Coach bus, city bus, ferry, then rental car."
Abbotsford,abbotsford,Campbell River,campbell-river,4,TRUE,FALSE,4,bus; skytrain; ferry; rental-car,Ebus; TransLink; Hullo; Budget,,,"Coach bus, SkyTrain, ferry, then rental car."
Abbotsford,abbotsford,Campbell River,campbell-river,5,FALSE,TRUE,4,local-bus; skytrain; ferry; bus,BC Transit; TransLink; Hullo; Island Link,,,"City bus, SkyTrain, ferry, then coach bus."
Abbotsford,abbotsford,Campbell River,campbell-river,6,FALSE,TRUE,4,bus; skytrain; ferry; bus,BC Transit; TransLink; Hullo; Island Link,,,"City bus, SkyTrain, ferry, then coach bus."
Abbotsford,abbotsford,Campbell River,campbell-river,7,FALSE,TRUE,4,bus; skytrain; ferry; bus,Ebus; TransLink; Hullo; Island Link,,,"Coach bus, SkyTrain, ferry, then coach bus."
Abbotsford,abbotsford,Castlegar,castlegar,1,TRUE,TRUE,1,bus,Mountain Man Mike's,412.7,limited,"One coach bus, straight through."
Abbotsford,abbotsford,Chilliwack,chilliwack,1,TRUE,TRUE,1,local-bus,BC Transit,40.9,,"One city bus, straight through."
Abbotsford,abbotsford,Chilliwack,chilliwack,2,TRUE,TRUE,1,bus,Ebus,27.2,,"One coach bus, straight through."
Abbotsford,abbotsford,Clearwater,clearwater,1,TRUE,TRUE,2,bus; local-bus,Ebus; BC Transit,352.6,limited,"Coach bus, then city bus."
Abbotsford,abbotsford,Comox,comox,1,TRUE,FALSE,5,local-bus; skytrain; ferry; local-bus; rental-car,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,,"City bus, SkyTrain, ferry, city bus, then rental car."
Abbotsford,abbotsford,Comox,comox,2,TRUE,FALSE,4,bus; local-bus; ferry; rental-car,Rider Express; TransLink; BC Ferries; National Car & Truck Rental (Vancouver Island),232.1,,"Coach bus, city bus, ferry, then rental car."
Abbotsford,abbotsford,Comox,comox,3,TRUE,FALSE,5,bus; skytrain; ferry; local-bus; rental-car,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,,"City bus, SkyTrain, ferry, city bus, then rental car."
Abbotsford,abbotsford,Comox,comox,4,TRUE,TRUE,5,local-bus; skytrain; ferry; carpool; local-bus,BC Transit; TransLink; Hullo; Poparide,,on-demand,"City bus, SkyTrain, ferry, carpool, then city bus."
Abbotsford,abbotsford,Comox,comox,5,TRUE,TRUE,5,bus; skytrain; ferry; carpool; local-bus,BC Transit; TransLink; Hullo; Poparide,,on-demand,"City bus, SkyTrain, ferry, carpool, then city bus."
Abbotsford,abbotsford,Comox,comox,6,TRUE,TRUE,5,bus; local-bus; ferry; bus; ferry,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector,244.0,,"Coach bus, city bus, ferry, coach bus, then ferry."
Abbotsford,abbotsford,Comox,comox,7,FALSE,TRUE,5,local-bus; skytrain; ferry; bus; local-bus,BC Transit; TransLink; Hullo; Island Link,,,"City bus, SkyTrain, ferry, coach bus, then city bus."
Abbotsford,abbotsford,Comox,comox,8,FALSE,TRUE,5,bus; skytrain; ferry; bus; local-bus,BC Transit; TransLink; Hullo; Island Link,,,"City bus, SkyTrain, ferry, coach bus, then city bus."
Abbotsford,abbotsford,Comox,comox,9,FALSE,TRUE,5,bus; skytrain; ferry; bus; local-bus,Ebus; TransLink; Hullo; Island Link; BC Transit,,,"Coach bus, SkyTrain, ferry, coach bus, then city bus."
Abbotsford,abbotsford,Coquitlam,coquitlam,1,TRUE,TRUE,2,local-bus; skytrain,BC Transit; TransLink,,,"City bus, then SkyTrain."
Abbotsford,abbotsford,Coquitlam,coquitlam,2,TRUE,TRUE,2,bus; skytrain,BC Transit; TransLink,,,"City bus, then SkyTrain."
Abbotsford,abbotsford,Coquitlam,coquitlam,3,TRUE,TRUE,2,bus; skytrain,Ebus; TransLink,,,"Coach bus, then SkyTrain."
Abbotsford,abbotsford,Coquitlam,coquitlam,4,TRUE,TRUE,2,local-bus; local-train,BC Transit; TransLink (West Coast Express),50.6,limited,"City bus, then train."
Abbotsford,abbotsford,Coquitlam,coquitlam,5,TRUE,TRUE,2,bus; skytrain,Mountain Man Mike's; TransLink,,limited,"Coach bus, then SkyTrain."
Abbotsford,abbotsford,Coquitlam,coquitlam,6,TRUE,TRUE,3,local-bus; local-bus; local-bus,BC Transit; TransLink,48.6,limited,"City bus, city bus, then city bus."
Abbotsford,abbotsford,Cortes Island,cortes-island,1,TRUE,FALSE,7,local-bus; skytrain; ferry; local-bus; rental-car; ferry; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,,"City bus, SkyTrain, ferry, city bus, rental car, ferry, then ferry."
Abbotsford,abbotsford,Cortes Island,cortes-island,2,TRUE,FALSE,7,bus; skytrain; ferry; local-bus; rental-car; ferry; ferry,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island); BC Ferries,,,"City bus, SkyTrain, ferry, city bus, rental car, ferry, then ferry."
Abbotsford,abbotsford,Cortes Island,cortes-island,3,TRUE,FALSE,6,bus; skytrain; ferry; rental-car; ferry; ferry,Ebus; TransLink; Hullo; Budget; BC Ferries,,,"Coach bus, SkyTrain, ferry, rental car, ferry, then ferry."
Abbotsford,abbotsford,Cortes Island,cortes-island,4,TRUE,FALSE,6,bus; local-bus; ferry; rental-car; ferry; ferry,Rider Express; TransLink; BC Ferries; National Car & Truck Rental (Vancouver Island),301.6,,"Coach bus, city bus, ferry, rental car, ferry, then ferry."
Abbotsford,abbotsford,Cortes Island,cortes-island,5,TRUE,FALSE,6,local-bus; local-train; ferry; rental-car; ferry; ferry,BC Transit; TransLink (West Coast Express); Hullo; Budget; BC Ferries,299.3,limited,"City bus, train, ferry, rental car, ferry, then ferry."
Abbotsford,abbotsford,Cortes Island,cortes-island,6,TRUE,FALSE,6,bus; skytrain; ferry; rental-car; ferry; ferry,Mountain Man Mike's; TransLink; Hullo; Budget; BC Ferries,,limited,"Coach bus, SkyTrain, ferry, rental car, ferry, then ferry."
Abbotsford,abbotsford,Cortes Island,cortes-island,7,FALSE,TRUE,6,local-bus; skytrain; ferry; bus; ferry; ferry,BC Transit; TransLink; Hullo; Island Link; BC Ferries,,,"City bus, SkyTrain, ferry, coach bus, ferry, then ferry."
Abbotsford,abbotsford,Cortes Island,cortes-island,8,FALSE,TRUE,6,bus; skytrain; ferry; bus; ferry; ferry,BC Transit; TransLink; Hullo; Island Link; BC Ferries,,,"City bus, SkyTrain, ferry, coach bus, ferry, then ferry."
Abbotsford,abbotsford,Cortes Island,cortes-island,9,FALSE,TRUE,6,bus; skytrain; ferry; bus; ferry; ferry,Ebus; TransLink; Hullo; Island Link; BC Ferries,,,"Coach bus, SkyTrain, ferry, coach bus, ferry, then ferry."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,1,TRUE,TRUE,4,local-bus; skytrain; ferry; carpool,BC Transit; TransLink; Hullo; Poparide,,on-demand,"City bus, SkyTrain, ferry, then carpool."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,2,TRUE,FALSE,5,local-bus; skytrain; ferry; local-bus; rental-car,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,,"City bus, SkyTrain, ferry, city bus, then rental car."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,3,TRUE,TRUE,4,bus; skytrain; ferry; carpool,BC Transit; TransLink; Hullo; Poparide,,on-demand,"City bus, SkyTrain, ferry, then carpool."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,4,TRUE,FALSE,4,bus; local-bus; ferry; rental-car,Rider Express; TransLink; BC Ferries; National Car & Truck Rental (Vancouver Island),232.1,,"Coach bus, city bus, ferry, then rental car."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,5,TRUE,FALSE,5,bus; skytrain; ferry; local-bus; rental-car,BC Transit; TransLink; Hullo; National Car & Truck Rental (Vancouver Island),,,"City bus, SkyTrain, ferry, city bus, then rental car."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,6,TRUE,TRUE,4,bus; skytrain; ferry; carpool,Ebus; TransLink; Hullo; Poparide,,on-demand,"Coach bus, SkyTrain, ferry, then carpool."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,7,TRUE,TRUE,5,bus; local-bus; ferry; bus; ferry,Rider Express; TransLink; BC Ferries; Sunshine Coast Connector,244.0,,"Coach bus, city bus, ferry, coach bus, then ferry."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,8,FALSE,TRUE,4,local-bus; skytrain; ferry; bus,BC Transit; TransLink; Hullo; Island Link,,,"City bus, SkyTrain, ferry, then coach bus."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,9,FALSE,TRUE,4,bus; skytrain; ferry; bus,BC Transit; TransLink; Hullo; Island Link,,,"City bus, SkyTrain, ferry, then coach bus."
Abbotsford,abbotsford,Courtenay (Comox Valley),courtenay,10,FALSE,TRUE,4,bus; skytrain; ferry; bus,Ebus; TransLink; Hullo; Island Link,,,"Coach bus, SkyTrain, ferry, then coach bus."
Abbotsford,abbotsford,Cranbrook,cranbrook,1,TRUE,TRUE,2,bus; bus,Mountain Man Mike's,607.4,limited,"Coach bus, then coach bus."
Abbotsford,abbotsford,Cranbrook,cranbrook,2,TRUE,TRUE,2,bus; bus,Ebus; Mountain Man Mike's,1081.9,limited,"Coach bus, then coach bus."
Abbotsford,abbotsford,Cranbrook,cranbrook,3,TRUE,FALSE,3,air; air; air,Flair Airlines; Air Canada,1874.3,,"Plane, plane, then plane."
Abbotsford,abbotsford,Creston,creston,1,TRUE,TRUE,2,bus; bus,Mountain Man Mike's,535.4,limited,"Coach bus, then coach bus."
Abbotsford,abbotsford,Creston,creston,2,TRUE,TRUE,2,bus; bus,Ebus; Mountain Man Mike's,1153.9,limited,"Coach bus, then coach bus."
Abbotsford,abbotsford,Creston,creston,3,TRUE,FALSE,2,air; bus,Flair Airlines; Mountain Man Mike's,1065.6,limited,"Plane, then coach bus."
Abbotsford,abbotsford,Delta,delta,1,TRUE,TRUE,3,local-bus; skytrain; local-bus,BC Transit; TransLink,,,"City bus, SkyTrain, then city bus."
Abbotsford,abbotsford,Delta,delta,2,TRUE,TRUE,3,bus; skytrain; local-bus,BC Transit; TransLink,,,"City bus, SkyTrain, then city bus."
Abbotsford,abbotsford,Delta,delta,3,TRUE,TRUE,3,bus; skytrain; local-bus,Ebus; TransLink,,,"Coach bus, SkyTrain, then city bus."
Abbotsford,abbotsford,Delta,delta,4,TRUE,TRUE,3,bus; skytrain; local-bus,Mountain Man Mike's; TransLink,,limited,"Coach bus, SkyTrain, then city bus."
Abbotsford,abbotsford,Delta,delta,5,TRUE,TRUE,4,local-bus; local-train; skytrain; local-bus,BC Transit; TransLink (West Coast Express); TransLink,,limited,"City bus, train, SkyTrain, then city bus."
Abbotsford,abbotsford,Denman Island,denman-island,1,TRUE,TRUE,6,local-bus; skytrain; ferry; carpool; local-bus; ferry,BC Transit; TransLink; Hullo; Poparide; BC Ferries,,on-demand,"City bus, SkyTrain, ferry, carpool, city bus, then ferry."
Abbotsford,abbotsford,Denman Island,denman-island,2,TRUE,TRUE,6,bus; skytrain; ferry; carpool; local-bus; ferry,BC Transit; TransLink; Hullo; Poparide; BC Ferries,,on-demand,"City bus, SkyTrain, ferry, carpool, city bus, then ferry."
Abbotsford,abbotsford,Denman Island,denman-island,3,TRUE,TRUE,6,bus; skytrain; ferry; carpool; local-bus; ferry,Ebus; TransLink; Hullo; Poparide; BC Transit; BC Ferries,,on-demand,"Coach bus, SkyTrain, ferry, carpool, city bus, then ferry."
Abbotsford,abbotsford,Denman Island,denman-island,4,TRUE,TRUE,6,local-bus; local-train; ferry; carpool; local-bus; ferry,BC Transit; TransLink (West Coast Express); Hullo; Poparide; BC Ferries,255.8,limited; on-demand,"City bus, train, ferry, carpool, city bus, then ferry."
Abbotsford,abbotsford,Denman Island,denman-island,5,TRUE,TRUE,6,bus; skytrain; ferry; carpool; local-bus; ferry,Mountain Man Mike's; TransLink; Hullo; Poparide; BC Transit; BC Ferries,,limited; on-demand,"Coach bus, SkyTrain, ferry, carpool, city bus, then ferry."
Abbotsford,abbotsford,Denman Island,denman-island,6,TRUE,TRUE,7,bus; local-bus; ferry; local-bus; carpool; local-bus; ferry,Rider Express; TransLink; BC Ferries; BC Transit; Poparide,260.0,on-demand,"Coach bus, city bus, ferry, city bus, carpool, city bus, then ferry."
Abbotsford,abbotsford,Denman Island,denman-island,7,FALSE,TRUE,6,local-bus; skytrain; ferry; bus; local-bus; ferry,BC Transit; TransLink; Hullo; Island Link; BC Ferries,,,"City bus, SkyTrain, ferry, coach bus, city bus, then ferry."
Abbotsford,abbotsford,Denman Island,denman-island,8,FALSE,TRUE,6,bus; skytrain; ferry; bus; local-bus; ferry,BC Transit; TransLink; Hullo; Island Link; BC Ferries,,,"City bus, SkyTrain, ferry, coach bus, city bus, then ferry."
Abbotsford,abbotsford,Denman Island,denman-island,9,FALSE,TRUE,6,bus; skytrain; ferry; bus; local-bus; ferry,Ebus; TransLink; Hullo; Island Link; BC Transit; BC Ferries,,,"Coach bus, SkyTrain, ferry, coach bus, city bus, then ferry."
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,1,TRUE,TRUE,4,local-bus; skytrain; ferry; local-bus,BC Transit; TransLink; Hullo,,,"City bus, SkyTrain, ferry, then city bus."
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,2,TRUE,TRUE,4,bus; skytrain; ferry; local-bus,BC Transit; TransLink; Hullo,,,"City bus, SkyTrain, ferry, then city bus."
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,3,TRUE,TRUE,4,bus; skytrain; ferry; local-bus,Ebus; TransLink; Hullo; BC Transit,,,"Coach bus, SkyTrain, ferry, then city bus."
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,4,TRUE,TRUE,6,local-bus; skytrain; local-bus; ferry; local-bus; local-bus,BC Transit; TransLink; BC Ferries,,,"City bus, SkyTrain, city bus, ferry, city bus, then city bus."
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,5,TRUE,TRUE,5,bus; local-bus; ferry; local-bus; local-bus,Rider Express; TransLink; BC Ferries; BC Transit,187.1,,"Coach bus, city bus, ferry, city bus, then city bus."
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,6,TRUE,TRUE,6,bus; skytrain; local-bus; ferry; local-bus; local-bus,BC Transit; TransLink; BC Ferries,,,"City bus, SkyTrain, city bus, ferry, city bus, then city bus."
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,7,TRUE,TRUE,5,local-bus; skytrain; local-bus; bus; local-bus,BC Transit; TransLink; Wilson's Transportation (BC Connector),,,"City bus, SkyTrain, city bus, coach bus, then city bus."
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,8,TRUE,TRUE,4,local-bus; local-train; ferry; local-bus,BC Transit; TransLink (West Coast Express); Hullo,182.8,limited,"City bus, train, ferry, then city bus."
Abbotsford,abbotsford,Duncan (Cowichan Valley),duncan,9,TRUE,TRUE,6,local-bus; skytrain; local-bus; ferry; local-bus; bus,BC Transit; TransLink; BC Ferries,,,"City bus, SkyTrain, city bus, ferry, city bus, then city bus."
